t_start,pps_http,bps_http,syn_http,ack_http,reset_http,rst_http,fin_http,n_ip_src_http,n_ip_dst_http,H_ip_src_http,H_ip_dst_http,syn_percent_http,syn_ack_ratio_http
0.0,206,1476920.0,0,0,0,0,0,4,3,1.8984714691363127,1.5717451540441145,0.0,0.0
1.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
2.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
3.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
4.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
5.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
6.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
7.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
8.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
9.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
10.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
11.0,265,1893200.0,0,0,0,0,0,4,3,1.8984011216717505,1.5709334744291303,0.0,0.0
12.0,269,1927648.0,0,0,0,0,0,4,3,1.8960277505985876,1.5703101392915753,0.0,0.0
13.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
14.0,265,1893200.0,0,0,0,0,0,4,3,1.8984011216717505,1.5709334744291303,0.0,0.0
15.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
16.0,266,1904320.0,0,0,0,0,0,4,3,1.8978044774320817,1.5699820812083218,0.0,0.0
17.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
18.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
19.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
20.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
21.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
22.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
23.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
24.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
25.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
26.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
27.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
28.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
29.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
30.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
31.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
32.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
33.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
34.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
35.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
36.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
37.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
38.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
39.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
40.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
41.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
42.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
43.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
44.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
45.0,266,1904768.0,0,0,0,0,0,4,3,1.8978044774320817,1.5699820812083218,0.0,0.0
46.0,268,1916080.0,0,0,0,0,0,4,3,1.8966178920471521,1.571241931616107,0.0,0.0
47.0,266,1904768.0,0,0,0,0,0,4,3,1.8978044774320817,1.5699820812083218,0.0,0.0
48.0,268,1916080.0,0,0,0,0,0,4,3,1.8966178920471521,1.571241931616107,0.0,0.0
49.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
50.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
51.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
52.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
53.0,264,1894048.0,0,0,0,0,0,4,3,1.899022907705472,1.5703148527081452,0.0,0.0
54.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
55.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
56.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
57.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
58.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
59.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
60.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
61.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
62.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
63.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
64.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
65.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
66.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
67.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
68.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
69.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
70.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
71.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
72.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
73.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
74.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
75.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
76.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
77.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
78.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
79.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
80.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
81.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
82.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
83.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
84.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
85.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
86.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
87.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
88.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
89.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
90.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
91.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
92.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
93.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
94.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
95.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
96.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
97.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
98.0,264,1892528.0,0,0,0,0,0,4,3,1.893018973621182,1.5718611418890482,0.0,0.0
99.0,270,1928320.0,0,0,0,0,0,4,3,1.9012012049178266,1.5693556369570214,0.0,0.0
100.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
101.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
102.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
103.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
104.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
105.0,265,1896768.0,0,0,0,0,0,4,3,1.8924198439424955,1.5709334744291303,0.0,0.0
106.0,269,1924080.0,0,0,0,0,0,4,3,1.9017884471913995,1.5703101392915753,0.0,0.0
107.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
108.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
109.0,265,1896768.0,0,0,0,0,0,4,3,1.8924198439424955,1.5709334744291303,0.0,0.0
110.0,269,1924080.0,0,0,0,0,0,4,3,1.9017884471913995,1.5703101392915753,0.0,0.0
111.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
112.0,263,1887808.0,0,0,0,0,0,4,3,1.8936434380008889,1.5712644738287085,0.0,0.0
113.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
114.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
115.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
116.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
117.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
118.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
119.0,267,1910424.0,0,0,0,0,0,4,3,1.8972326158396866,1.57063801885272,0.0,0.0
120.0,60,420824.0,0,0,0,0,0,4,3,1.8954618442383218,1.5709505944546684,0.0,0.0
